title,Oppenheimer,Sitting in Bars with Cake,M3GAN,The Blackening,"Red, White & Royal Blue",John Wick: Chapter 4,Biosphere,Guardians of the Galaxy Vol. 3,Shortcomings,Suzume
A Million Miles Away,"biography, history, science",,,,,,,,,
A Thousand and One,,,,,,,,,,
Aloners,,,,,,,,,,
Medusa Deluxe,,,,murder,,,,,,
Elemental,,making friends,,,kinda romance,,,,,animation
Afire,,friends,,,,,,,,
Alcarràs,,,,,,,,,,
Moving On,,,,,,,,,,
Asteroid City,,,,,,,,,,
Air,"biography, true story",,,,,,,,,
"Red, White & Royal Blue",,"comedy, romance",,,SAME,,,,,
Attachment,,,,horror +  comedy,,,,,,
Biosphere,,,,,,,SAME,,,
"Are You There God? It's Me, Margaret.",,,,,,,,,"growing up, family",
BlackBerry,biography,,,,,,,,,
Barbie,,,,,,,,,,
Cairo Conspiracy,,,,,,,,,,
Chile '76,,,,,,,,,,
Full Time,,,,,,,,,,
Earth Mama,,,,,,,,,,
Fremont,,,,,,,,,,
El Conde,,,,horror +  comedy,,,,,,
Il buco,,,,,,,,,,
Enys Men,,,,,,,,,,
Other People's Children,,,,,,,,,,
Jethica,,,,,,,,,,
Flora and Son,,,,,,,,,,
Rye Lane,,,,,,,,,,
Sick,,,,,,,,,,
Of an Age,,,,,love between guys,,,,summer romance,
Mutt,,,,,,,,,trans,
Perpetrator,,,,,,,,,,
Influencer,,,,,,,,,,
Sanctuary,,,,,,,,,,
Dumb Money,,,,,,,,,,
Oppenheimer,SAME,,,,,,,,,
Polite Society,,sisterhood,,,,,,,,
Sitting in Bars with Cake,,SAME,,,romance,,,,,
Sisu,,,,,,,,,,
Plane,,,,,,action,,,,
Past Lives,,,,,,,,,,
Tetris,biography,,,,,,,,,
Shortcomings,,relationship,,,teen romance,,,,early adult romance,
Teenage Mutant Ninja Turtles: Mutant Mayhem,,,,,,,,superhero,,
Extraction 2,,,,,,"mission, action",,,,
Joy Ride,,self discovery,,,,,,,,
John Wick: Chapter 4,,,,,,SAME,,,,
Godland,,,,,,,,,,
Saw X,,,,,,,,,,
Linoleum,,,,,,,sci-fi,,,
The Artifice Girl,,,ai robot,,,,,,,
The Angry Black Girl and Her Monster,,,,,,,,,,
The Blue Caftan,,,,,guy love,,,,guy love,
The Cow Who Sang a Song Into the Future,,,,,,,,,,
The Innocent,,,,,,,,,,
The Equalizer 3,,,,,,,,,,
The Lost King,,,,,,,,,,
The Five Devils,,,,,,,,,,
The Royal Hotel,,,,,,,,,,
The Wonderful Story of Henry Sugar,,,,,,,,,,
The Wrath of Becky,,,,,,revenge over dog,,,,
Tori and Lokita,,,,,,,,,,
They Cloned Tyrone,government,,,,,,,,,
You Are So Not Invited to My Bat Mitzvah,,sisterhood,,,,,,,,
Scarlet,,,,,,,,,,
Scrapper,,,,,,,,,,girl
Passages,,,,,,,,,,
Monica,,,,,,,,,,
Pacifiction,,,,,,,,,,
Showing Up,,,,,,,,,,
Nimona,,,,,,,,,,fantasy
Huesera: The Bone Woman,,,,,,,,,,
Smoking Causes Coughing,,,,,,,,,,
After Love,,,,,,,,,,
Juniper,,,,,,,,,,
Evil Dead Rise,,,,,,,,,,
Creed III,,,,,,,,,,
Guardians of the Galaxy Vol. 3,,,,,,action,,SAME,,
Anatomy of a Fall,,,,,,,,,,
How to Blow Up a Pipeline,,,,,,,,,,
Aristotle and Dante Discover the Secrets of the Universe,,,,,gay love,,,,coming of age,
Saint Omer,,,,,,,,,,
R.M.N.,,,,,,,,,,
Joyland,,,,,,,,,,
Blue Beetle,,,,,,action,,superhero,,
Emily,biography,,,,,,,,,
Amanda,,,,,,,,,,
Bottoms,,,,,teen,,,,gay teen,
Rotting in the Sun,,,,,,,,,,
M3GAN,,,SAME,,,,,,,
Jules,,,,,,,alien,,,
Leonor Will Never Die,,,,,,,,,,
Sick of Myself,,,,,,,,,,
Dreamin' Wild,biography,,,,,,,,,
Strange Way of Life,,,,,,,,,,
Talk to Me,,,,,,,,,,
Brooklyn 45,,,,,,,,,,
Falcon Lake,,,,,teen bond,,,,,
birth/rebirth,,,mystery + scifi,,,,,,,
No One Will Save You,,,mystery + scifi,,,,,,,
Scream VI,,,,trapped,,,,,,
Aporia,,,mystery + scifi,,,,,,,
Chevalier,biography,,,,,,,,,
Blue Jean,,,,,,,,,,
Reality,,,,,,,,,,
Brother,,,,,,,,,,
Missing,,,,,,,,,,
Suzume,,,,,,,,,,SAME
Dungeons & Dragons: Honor Among Thieves,,,,,,action,,action,,fantasy
Fair Play,,,,,,,,,,
Infinity Pool,,,mystery + scifi,,,,,,,
Return to Seoul,,,,,,,,,,
Spider-Man: Across the Spider-Verse,,,,,,action,,action,,
Revoir Paris,,,,,,,,,,
The Blackening,,,,SAME,,,,,,
The Beasts,,,AI,,,,,,,
The First Slam Dunk,,,,,,,,,,
The Lesson,,,,,,,,,,
The Night of the 12th,,,,,,,,,,
The Offering,,,,,,,,,,
The Unknown Country,,,,,,,,,,
The Starling Girl,,,,,,,,,,
Theater Camp,,,,,,,,,,
Totally Killer,,,,horror +  comedy,,,,,,
War Pony,,,,,,,,,,
You Can Live Forever,,,,,,,,,girl like girl,
You Hurt My Feelings,,,,,,,,,,
A Haunting in Venice,,,,,,,,,,
